"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2026","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,847,900",""
"SURVEY","2025","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,322,800",""
"SURVEY","2025","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,000,000",""
"SURVEY","2024","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,426,300",""
"SURVEY","2023","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,195,800",""
"SURVEY","2023","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,100,000",""
"SURVEY","2022","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,677,800",""
"SURVEY","2022","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,400,000",""
"SURVEY","2021","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,667,500",""
"SURVEY","2021","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,400,000",""
"SURVEY","2020","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,657,700",""
"SURVEY","2020","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,600,000",""
"SURVEY","2019","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,367,900",""
"SURVEY","2019","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,600,000",""
"SURVEY","2018","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,146,000",""
"SURVEY","2018","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,300,000",""
"SURVEY","2017","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,108,400",""
"SURVEY","2017","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,800,000",""
