Report Date,Choice 600-900,Select 600-900
08/11/2026,371.31,349.80
08/10/2026,371.42,350.84
08/07/2026,364.36,352.37
08/06/2026,363.86,349.78
08/05/2026,367.97,348.06
08/04/2026,369.65,346.50
08/03/2026,366.73,344.45
07/31/2026,361.38,346.23
07/30/2026,360.50,341.33
07/29/2026,363.43,342.41
07/28/2026,365.86,343.52
07/27/2026,362.89,345.16
07/24/2026,361.24,346.71
07/23/2026,362.87,348.75
07/22/2026,363.50,350.57
07/21/2026,366.91,354.23
07/20/2026,370.10,355.45
07/17/2026,366.81,355.29
07/16/2026,368.38,355.69
07/15/2026,371.28,359.18
07/14/2026,373.95,364.41
07/13/2026,375.61,365.17
07/10/2026,382.68,368.33
07/09/2026,380.81,363.49
07/08/2026,381.20,363.09
07/07/2026,385.77,365.89
07/06/2026,386.48,365.87
07/02/2026,387.07,367.43
07/01/2026,391.26,369.69
06/30/2026,393.16,371.68
06/29/2026,391.44,374.18
06/26/2026,391.03,371.58
06/25/2026,396.32,374.74
06/24/2026,398.94,378.14
06/23/2026,400.31,381.06
06/22/2026,396.06,375.59
06/19/2026,394.37,372.08
06/18/2026,393.92,374.75
06/17/2026,394.50,377.26
06/16/2026,399.58,376.85
06/15/2026,395.05,376.41
06/12/2026,391.93,372.72
06/11/2026,393.21,373.25
06/10/2026,393.29,375.71
06/09/2026,392.90,376.93
06/08/2026,392.20,378.09
06/05/2026,392.70,382.69
06/04/2026,392.66,383.04
06/03/2026,395.86,384.43
06/02/2026,394.07,384.81
06/01/2026,392.83,383.09
05/29/2026,391.47,383.18
05/28/2026,392.32,385.58
05/27/2026,394.72,389.29
05/26/2026,392.90,390.30
05/22/2026,390.27,385.00
05/21/2026,391.48,385.65
05/20/2026,393.62,391.13
05/19/2026,395.75,393.58
05/18/2026,392.14,390.23
05/15/2026,389.25,389.25
05/14/2026,387.45,389.00
05/13/2026,388.68,388.58
05/12/2026,390.73,391.27
05/11/2026,391.22,391.49
05/08/2026,388.39,385.01
05/07/2026,386.94,384.42
05/06/2026,389.62,389.63
05/05/2026,392.34,392.24
05/04/2026,391.56,390.60
05/01/2026,389.11,387.05
04/30/2026,389.52,388.17
04/29/2026,388.05,386.25
04/28/2026,388.90,388.78
04/27/2026,389.56,388.60
04/24/2026,387.00,386.07
04/23/2026,383.50,382.58
04/22/2026,384.19,383.33
04/21/2026,386.18,387.20
04/20/2026,383.56,383.61
04/17/2026,381.06,376.60
04/16/2026,381.57,378.48
04/15/2026,381.98,378.58
04/14/2026,383.20,379.80
04/13/2026,381.92,383.64
04/10/2026,380.90,381.34
04/09/2026,381.09,381.57
04/08/2026,379.66,382.27
04/07/2026,382.74,386.33
